CL_RN,COMERCIO_CON_MAS_CONSUMO,LIM_CREDITO,ANIO_COSECHA,COD_MORA,PAGO_CONTADO,METAL_TJT,COD_RANGO_EDAD
2133,SUPERMERCADOS,11008.0,2021,0,N,6,9.0
2134,RESTAURANTES,23104.0,2021,0,N,1,7.0
2135,TELECOMUNICACIONES,28000.0,2021,0,N,4,11.0
2136,RESTAURANTES,65880.0,2010,0,N,2,9.0
2137,SUPERMERCADOS,25520.0,2022,0,N,1,11.0
2138,MEDICINA,25760.0,2008,0,N,6,7.0
2139,CONSTRUCCIÓN,28000.0,2007,0,N,5,10.0
2140,SUPERMERCADOS,37440.0,2007,0,N,6,7.0
2141,CONSTRUCCIÓN,5600.0,2021,0,S,6,5.0
2142,RESTAURANTES,24952.0,2022,0,N,1,10.0
2143,CONSTRUCCIÓN,98480.0,2007,0,N,5,6.0
2144,TELECOMUNICACIONES,76440.0,2007,0,N,4,7.0
2145,SUPERMERCADOS,30800.0,2021,0,N,6,7.0
2146,COMIDA/ABARROTES,57040.0,2007,0,N,6,8.0
2147,RESTAURANTES,40000.0,2022,0,N,1,7.0
2148,COMIDA/ABARROTES,15160.0,2018,0,S,6,6.0
2148,COMIDA/ABARROTES,25240.0,2019,0,N,5,6.0
2149,SUPERMERCADOS,4000.0,2021,0,N,6,9.0
2150,SUPERMERCADOS,80000.0,2019,0,N,3,8.0
2150,SUPERMERCADOS,80000.0,2021,0,N,3,8.0
2151,ROPA/ACCESORIOS,27200.0,2007,0,S,5,6.0
2152,SUPERMERCADOS,9000.0,2019,0,N,5,6.0
2152,SUPERMERCADOS,9896.0,2021,0,S,5,6.0
2153,SUPERMERCADOS,45000.0,2021,0,N,3,6.0
2154,CONSTRUCCIÓN,218160.0,2013,0,N,4,7.0
2155,SUPERMERCADOS,53104.0,2007,0,N,5,7.0
2156,ALOJAMIENTO,80000.0,2021,0,N,2,9.0
2157,MERCANCÍA GENERAL,17728.0,2019,0,N,4,9.0
2158,MERCANCÍA GENERAL,16856.0,2021,0,S,4,6.0
2159,TELECOMUNICACIONES,52000.0,2017,0,S,6,9.0
2160,RESTAURANTES,6000.0,2014,0,N,5,7.0
2160,RESTAURANTES,8000.0,2015,0,N,5,7.0
2161,SUPERMERCADOS,36000.0,2007,0,N,3,9.0
2162,TRANSPORTE,80000.0,2021,0,N,2,8.0
2163,SUPERMERCADOS,7000.0,2022,0,N,6,6.0
2164,TELECOMUNICACIONES,13240.0,2018,0,N,6,6.0
2165,TELECOMUNICACIONES,17160.0,2007,0,N,5,6.0
2166,TELECOMUNICACIONES,8000.0,2011,0,N,6,6.0
2166,TELECOMUNICACIONES,10400.0,2007,0,N,5,6.0
2167,TELECOMUNICACIONES,16200.0,2016,0,N,5,5.0
2168,RESTAURANTES,4000.0,2014,0,N,6,9.0
2169,TIENDAS/ALMACENES DEPARTAMENTALES,7600.0,2021,0,N,5,9.0
2170,GASOLINERAS,39000.0,2008,0,S,5,12.0
2171,TELECOMUNICACIONES,8000.0,2012,0,N,6,10.0
2172,SUPERMERCADOS,24000.0,2007,0,N,5,9.0
2173,TELECOMUNICACIONES,4000.0,2021,0,N,6,5.0
2174,MERCANCÍA GENERAL,70000.0,2022,0,S,2,6.0
2175,REGALOS,52000.0,2007,0,N,4,11.0
2176,TELECOMUNICACIONES,27200.0,2007,0,N,5,9.0
2177,AUTOMOTRIZ,4000.0,2021,0,N,6,6.0
2178,TELECOMUNICACIONES,11000.0,2013,0,N,6,6.0
2179,OTROS BIENES Y SERVICIOS,181600.0,2019,0,S,2,8.0
2180,SUPERMERCADOS,25320.0,2019,0,N,5,11.0
2181,CONSTRUCCIÓN,31016.0,2020,0,N,1,10.0
2182,MERCANCÍA GENERAL,57752.0,2021,0,N,3,8.0
2183,TELECOMUNICACIONES,20000.0,2016,0,N,4,10.0
2184,ALOJAMIENTO,45600.0,2007,0,N,6,9.0
2185,ELECTRÓNICA,35360.0,2007,0,N,5,6.0
2186,RESTAURANTES,6000.0,2017,0,S,6,11.0
2187,SUPERMERCADOS,85680.0,2007,0,N,5,8.0
2188,CONSTRUCCIÓN,38000.0,2021,0,N,3,6.0
2189,GASOLINERAS,91840.0,2018,0,N,6,7.0
2190,SUPERMERCADOS,34440.0,2018,0,N,4,7.0
2191,SUPERMERCADOS,70680.0,2007,0,N,5,7.0
2192,ARTÍCULOS Y SERVICIOS PERSONALES,12600.0,2019,0,N,5,7.0
2193,ELECTRÓNICA,63200.0,2018,0,N,1,7.0
2193,ELECTRÓNICA,66304.0,2007,0,N,5,7.0
2194,MERCANCÍA GENERAL,8000.0,2022,0,N,5,7.0
2195,SUPERMERCADOS,46800.0,2014,0,N,2,11.0
2196,GASOLINERAS,8008.0,2020,0,N,6,5.0
2197,ORGANISMOS,8576.0,2018,0,N,5,5.0
2198,GASTOS DE VIAJE,65632.0,2022,0,N,1,6.0
2199,RESTAURANTES,22744.0,2021,0,N,6,5.0
2200,RESTAURANTES,35120.0,2013,0,N,6,7.0
2201,ORGANISMOS,75200.0,2007,0,N,4,11.0
2202,GASOLINERAS,20160.0,2019,0,N,5,7.0
2203,RESTAURANTES,18400.0,2007,0,N,6,11.0
2204,TIENDAS/ALMACENES DEPARTAMENTALES,30400.0,2017,0,N,6,9.0
2204,TIENDAS/ALMACENES DEPARTAMENTALES,33440.0,2022,0,S,4,9.0
2205,SUPERMERCADOS,15000.0,2007,0,N,6,6.0
2206,SUPERMERCADOS,33744.0,2022,0,S,1,6.0
2207,SUPERMERCADOS,13960.0,2020,0,N,6,9.0
2208,TELECOMUNICACIONES,6000.0,2020,0,N,5,7.0
2209,OTROS BIENES Y SERVICIOS,188800.0,2020,1,N,2,8.0
2210,SUPERMERCADOS,4800.0,2011,0,N,6,9.0
2210,SUPERMERCADOS,24800.0,2007,0,N,5,9.0
2211,COMIDA/ABARROTES,4000.0,2019,0,S,6,9.0
2212,RESTAURANTES,8000.0,2022,0,N,5,5.0
2213,SUPERMERCADOS,54000.0,2007,0,N,5,12.0
2214,MAYORISTAS,39560.0,2020,0,N,3,9.0
2215,SUPERMERCADOS,15000.0,2022,0,N,5,7.0
2216,SUPERMERCADOS,17976.0,2020,0,N,6,7.0
2217,MEDICINA,13200.0,2007,0,N,6,11.0
2217,MEDICINA,20280.0,2011,0,N,6,11.0
2218,MEDICINA,12000.0,2022,0,N,4,7.0
2219,EDUCACIÓN,6000.0,2021,0,N,5,5.0
2220,RESTAURANTES,40000.0,2022,0,N,2,6.0
2221,RESTAURANTES,17560.0,2016,0,N,5,7.0
2222,SUPERMERCADOS,133200.0,2008,0,N,3,6.0
2223,RESTAURANTES,10496.0,2020,0,N,5,6.0
2224,ENTRETENIMIENTO - DEPORTES,5200.0,2019,0,N,6,8.0
2225,SUPERMERCADOS,37800.0,2007,0,N,5,7.0
2226,TELECOMUNICACIONES,26000.0,2014,0,N,6,8.0
2227,RESTAURANTES,11872.0,2020,0,N,5,6.0
2228,VENTAS EN AMBIENTES DE TARJETA AUSENTE,9600.0,2007,0,S,5,6.0
2229,TIENDAS/ALMACENES DEPARTAMENTALES,20272.0,2020,0,N,5,6.0
2230,ARTÍCULOS Y SERVICIOS PERSONALES,27360.0,2011,0,N,4,9.0
2231,ARTÍCULOS PARA EL HOGAR,33832.0,2021,0,N,3,8.0
2232,RESTAURANTES,67200.0,2007,0,N,6,6.0
2233,RESTAURANTES,33300.0,2007,0,N,5,7.0
2234,AUTOMOTRIZ,39960.0,2016,0,N,5,11.0
2235,SUPERMERCADOS,23144.0,2022,0,S,6,5.0
2237,ENTRETENIMIENTO - PARQUES,86680.0,2019,0,N,2,7.0
2238,LIBROS-PERIÓDICOS,11080.0,2019,0,N,6,5.0
2239,ROPA/ACCESORIOS,25200.0,2008,0,N,3,5.0
2239,ROPA/ACCESORIOS,72040.0,2019,0,N,1,5.0
2240,SUPERMERCADOS,4000.0,2021,0,N,6,7.0
2241,SUPERMERCADOS,23688.0,2021,0,N,1,6.0
2242,MERCANCÍA GENERAL,10000.0,2021,0,N,5,8.0
2243,SUPERMERCADOS,68520.0,2008,0,N,4,8.0
2244,ROPA/ACCESORIOS,14560.0,2008,0,N,6,5.0
2245,MATERIALES/EQUIPOS DE OFICINA,12600.0,2017,0,N,6,8.0
2246,SUPERMERCADOS,4000.0,2021,0,N,6,6.0
2247,RESTAURANTES,4032.0,2021,0,S,6,6.0
2248,RESTAURANTES,37856.0,2012,0,S,4,11.0
2249,TIENDAS/ALMACENES DEPARTAMENTALES,40000.0,2015,0,N,1,6.0
2250,COMIDA/ABARROTES,50160.0,2012,0,S,5,8.0
2251,SUPERMERCADOS,57856.0,2022,0,N,2,7.0
2252,SUPERMERCADOS,12000.0,2021,0,N,5,6.0
2253,TELECOMUNICACIONES,60000.0,2013,0,N,4,9.0
2254,ENTRETENIMIENTO - PARQUES,85400.0,2008,0,N,5,6.0
2255,OTROS BIENES Y SERVICIOS,180360.0,2017,0,N,3,9.0
2256,TRANSPORTE,39296.0,2019,0,N,1,6.0
2257,COMIDA/ABARROTES,23400.0,2010,0,N,4,12.0
2258,SUPERMERCADOS,4000.0,2021,0,S,6,10.0
2259,TELECOMUNICACIONES,27320.0,2008,0,N,6,9.0
2260,RESTAURANTES,6336.0,2022,0,S,5,6.0
2261,SUPERMERCADOS,4000.0,2021,0,N,6,6.0
2262,RESTAURANTES,81120.0,2019,0,N,1,7.0
2263,AUTOMOTRIZ,32400.0,2014,0,N,5,9.0
2263,AUTOMOTRIZ,46760.0,2017,0,N,5,9.0
2264,RESTAURANTES,4000.0,2021,0,N,6,8.0
2265,ENTRETENIMIENTO - PARQUES,13504.0,2017,0,N,6,7.0
2266,ENTRETENIMIENTO - DEPORTES,80000.0,2022,0,N,2,7.0
2267,SUPERMERCADOS,15000.0,2020,0,S,5,6.0
2268,ARTÍCULOS Y SERVICIOS PERSONALES,33000.0,2021,0,N,3,5.0
2269,TELECOMUNICACIONES,20400.0,2021,0,N,5,6.0
2270,RESTAURANTES,17392.0,2022,0,N,4,7.0
2271,SUPERMERCADOS,70200.0,2011,0,N,6,6.0
2272,RESTAURANTES,39760.0,2008,0,N,5,8.0
2273,RESTAURANTES,4000.0,2022,0,N,6,6.0
2274,TELECOMUNICACIONES,46400.0,2008,0,N,5,6.0
2275,TELECOMUNICACIONES,6000.0,2019,0,N,6,8.0
2276,SUPERMERCADOS,12000.0,2022,0,N,5,9.0
2277,GASOLINERAS,15600.0,2022,0,S,4,5.0
2278,RESTAURANTES,5496.0,2019,0,S,5,5.0
2279,RESTAURANTES,6800.0,2014,0,N,5,8.0
2280,SUPERMERCADOS,4000.0,2021,0,N,6,6.0
2281,MEDICINA,27888.0,2021,0,N,5,6.0
2282,ALTO RIESGO,26320.0,2016,0,N,4,6.0
2283,RESTAURANTES,7344.0,2021,0,N,6,5.0
2284,CONSTRUCCIÓN,72000.0,2022,0,N,2,8.0
2285,ALOJAMIENTO,27040.0,2021,0,N,4,5.0
2286,AUTOMOTRIZ,115160.0,2019,0,S,2,7.0
2287,ENTRETENIMIENTO - DEPORTES,32464.0,2019,0,N,3,6.0
2288,RESTAURANTES,8000.0,2016,0,N,6,8.0
2288,RESTAURANTES,12600.0,2016,0,N,6,8.0
2289,RESTAURANTES,7760.0,2017,0,N,6,7.0
2289,RESTAURANTES,13000.0,2011,0,N,4,7.0
2290,RESTAURANTES,23968.0,2019,0,N,6,6.0
2291,TELECOMUNICACIONES,21600.0,2008,0,N,5,7.0
2292,SUPERMERCADOS,31200.0,2008,0,N,5,8.0
2293,RESTAURANTES,45760.0,2020,0,N,2,8.0
2294,MERCANCÍA GENERAL,24936.0,2021,0,N,1,7.0
2295,RESTAURANTES,43440.0,2012,0,S,6,5.0
2295,RESTAURANTES,93184.0,2019,0,N,4,5.0
2297,GASOLINERAS,37800.0,2021,0,N,1,8.0
2298,RECURRENTES,198760.0,2019,0,S,2,7.0
2299,SUPERMERCADOS,9360.0,2014,0,N,6,7.0
2300,GASOLINERAS,10000.0,2012,0,N,6,6.0
2301,SUPERMERCADOS,23400.0,2018,0,S,4,8.0
2302,MEDICINA,12400.0,2013,0,N,4,11.0
2303,TELECOMUNICACIONES,37504.0,2020,0,S,1,6.0
2303,TELECOMUNICACIONES,102424.0,2021,0,S,6,6.0
2304,SUPERMERCADOS,24600.0,2008,0,N,4,7.0
2304,SUPERMERCADOS,35160.0,2019,0,S,1,7.0
2305,GASOLINERAS,77000.0,2022,0,N,1,6.0
2306,ENTRETENIMIENTO,4000.0,2021,0,N,6,7.0
2307,PLANTAS,40400.0,2008,0,N,4,11.0
2307,PLANTAS,57776.0,2018,0,N,2,11.0
2308,RESTAURANTES,22496.0,2022,0,S,1,6.0
2309,RESTAURANTES,38200.0,2008,0,S,5,8.0
2310,SUPERMERCADOS,40648.0,2020,0,N,3,8.0
2311,ROPA/ACCESORIOS,23920.0,2008,0,N,5,9.0
2312,VENTAS EN AMBIENTES DE TARJETA AUSENTE,80000.0,2021,0,N,2,7.0
2313,TIENDAS/ALMACENES DEPARTAMENTALES,29976.0,2019,0,N,1,6.0
2314,AEROLÍNEAS,28200.0,2008,0,N,5,6.0
2315,EDUCACIÓN,80000.0,2022,0,S,2,7.0
2316,CONSTRUCCIÓN,102056.0,2019,0,S,2,9.0
2317,SUPERMERCADOS,24544.0,2022,0,N,1,5.0
2318,TRANSPORTE,23600.0,2016,0,N,5,6.0
2319,RESTAURANTES,80000.0,2020,0,N,1,9.0
2320,MERCANCÍA GENERAL,39600.0,2021,0,N,3,9.0
2321,AUTOMOTRIZ,25496.0,2022,0,N,1,8.0
2322,RESTAURANTES,50680.0,2008,0,S,5,5.0
2323,RESTAURANTES,29640.0,2020,0,N,6,6.0
2324,GASOLINERAS,8448.0,2021,0,N,6,6.0
2325,GASTOS DE VIAJE,22880.0,2020,0,N,5,10.0
2325,GASTOS DE VIAJE,27040.0,2008,0,S,6,10.0
2326,ENTRETENIMIENTO,8400.0,2020,0,N,5,6.0
2327,RESTAURANTES,18432.0,2020,0,S,4,6.0
2328,SUPERMERCADOS,20280.0,2012,0,N,6,5.0
2329,AEROLÍNEAS,17680.0,2018,0,N,5,8.0
2330,TELECOMUNICACIONES,4000.0,2021,0,N,6,5.0
2331,TIENDAS/ALMACENES DEPARTAMENTALES,14400.0,2012,0,N,5,9.0
2331,TIENDAS/ALMACENES DEPARTAMENTALES,93600.0,2015,0,N,1,9.0
2332,SUPERMERCADOS,93464.0,2020,0,N,3,6.0
2333,GASOLINERAS,36000.0,2022,0,N,1,8.0
2334,GASOLINERAS,42400.0,2012,0,N,4,6.0
2335,SUPERMERCADOS,16000.0,2020,0,N,5,10.0
2336,SUPERMERCADOS,4000.0,2021,0,N,6,5.0
2337,SUPERMERCADOS,45232.0,2021,0,N,3,6.0
2338,RESTAURANTES,156000.0,2019,0,N,3,6.0
2339,SERVICIOS FINANCIEROS,4000.0,2021,0,N,6,5.0
2340,RESTAURANTES,16000.0,2022,0,S,4,6.0
2341,ALOJAMIENTO,57744.0,2022,0,N,2,6.0
2342,EDUCACIÓN,80000.0,2021,0,N,6,7.0
2343,SUPERMERCADOS,22160.0,2020,0,N,5,9.0
2344,TELECOMUNICACIONES,150400.0,2018,0,N,1,6.0
2345,GASOLINERAS,4000.0,2021,0,S,6,8.0
2346,TELECOMUNICACIONES,233480.0,2008,0,N,3,7.0
2347,ARTÍCULOS Y SERVICIOS PERSONALES,80000.0,2022,0,N,1,5.0
2348,RESTAURANTES,17600.0,2019,0,N,4,6.0
2349,JUGUETERÍAS,112640.0,2008,0,N,3,7.0
2350,RESTAURANTES,46328.0,2019,0,S,2,5.0
2350,RESTAURANTES,71600.0,2018,0,N,1,5.0
2351,RESTAURANTES,6000.0,2022,0,N,5,6.0
2352,ENTRETENIMIENTO,72120.0,2020,0,N,1,5.0
2353,GASOLINERAS,22000.0,2019,0,N,4,8.0
2353,GASOLINERAS,24200.0,2020,0,N,1,8.0
2354,RESTAURANTES,84800.0,2019,0,N,2,5.0
2355,RESTAURANTES,80000.0,2019,0,N,2,8.0
2355,RESTAURANTES,107120.0,2008,0,N,3,8.0
2356,AUTOMOTRIZ,136800.0,2019,0,N,2,5.0
2357,TELECOMUNICACIONES,69928.0,2021,0,N,3,5.0
2358,TELECOMUNICACIONES,49480.0,2011,0,N,3,5.0
2359,VENTAS EN AMBIENTES DE TARJETA AUSENTE,34784.0,2022,0,N,1,6.0
2360,SUPERMERCADOS,6800.0,2021,0,N,6,5.0
2361,TELECOMUNICACIONES,38264.0,2022,0,N,1,5.0
2362,RESTAURANTES,19480.0,2016,0,N,4,10.0
2363,TELECOMUNICACIONES,24000.0,2014,0,N,5,6.0
2364,GASOLINERAS,94080.0,2014,0,N,6,10.0
2365,TELECOMUNICACIONES,35720.0,2019,0,N,5,10.0
2366,RESTAURANTES,56120.0,2008,0,N,5,11.0
2367,GASOLINERAS,49600.0,2017,0,N,3,5.0
2368,RESTAURANTES,205720.0,2014,0,N,1,8.0
2369,OTROS BIENES Y SERVICIOS,63760.0,2021,1,N,3,6.0
2370,GOBIERNO,37440.0,2008,0,S,6,7.0
2371,CONSTRUCCIÓN,16496.0,2020,0,N,6,7.0
2372,GASOLINERAS,25560.0,2020,0,S,5,5.0
2373,SUPERMERCADOS,92440.0,2008,0,N,5,5.0
2374,RESTAURANTES,12000.0,2022,0,S,5,6.0
2375,GOBIERNO,179200.0,2008,0,N,3,7.0
2376,LIBROS-PERIÓDICOS,20360.0,2011,0,N,4,6.0
2377,ROPA/ACCESORIOS,4000.0,2022,0,N,6,5.0
2378,RESTAURANTES,49800.0,2008,0,N,5,9.0
2379,TELECOMUNICACIONES,4000.0,2021,0,S,6,7.0
2380,SUPERMERCADOS,80000.0,2021,0,S,2,6.0
2381,SUPERMERCADOS,10000.0,2022,0,S,5,5.0
2382,GOBIERNO,114000.0,2019,0,S,4,5.0
2383,RESTAURANTES,23400.0,2008,0,N,6,6.0
2384,ENTRETENIMIENTO - PARQUES,6320.0,2015,0,N,6,8.0
2385,CONSTRUCCIÓN,25680.0,2021,0,S,6,5.0
2386,MEDICINA,8000.0,2022,0,N,5,6.0
2387,JUGUETERÍAS,54720.0,2008,0,N,6,5.0
2387,JUGUETERÍAS,68400.0,2011,0,N,2,5.0
2388,AUTOMOTRIZ,39000.0,2020,0,N,4,5.0
2389,RESTAURANTES,21600.0,2022,0,N,6,6.0
2390,ARTÍCULOS Y SERVICIOS PERSONALES,20400.0,2008,0,N,6,6.0
2390,ARTÍCULOS Y SERVICIOS PERSONALES,22440.0,2019,0,N,4,6.0
2391,SUPERMERCADOS,74920.0,2008,0,N,5,6.0
2392,GASOLINERAS,10000.0,2022,0,S,5,11.0
2393,TELECOMUNICACIONES,25688.0,2008,0,N,5,7.0
2394,SUPERMERCADOS,52760.0,2012,0,N,6,7.0
2395,AUTOMOTRIZ,60840.0,2013,0,N,5,12.0
2396,ENTRETENIMIENTO - PARQUES,13640.0,2021,0,S,6,6.0
2397,TELECOMUNICACIONES,11512.0,2021,0,N,6,6.0
2398,OTROS BIENES Y SERVICIOS,34472.0,2022,0,N,1,5.0
2399,MEDICINA,11800.0,2008,0,N,5,8.0
2400,AUTOMOTRIZ,60000.0,2021,0,N,6,7.0
2401,TELECOMUNICACIONES,4000.0,2021,0,N,6,8.0
2402,GASOLINERAS,80000.0,2022,0,N,2,6.0
2403,SERVICIOS FINANCIEROS,61480.0,2015,0,N,1,7.0
2404,GASOLINERAS,32400.0,2017,0,S,6,7.0
2405,ALOJAMIENTO,6000.0,2015,0,N,6,7.0
2406,MERCANCÍA GENERAL,8000.0,2022,0,N,5,6.0
2407,ROPA/ACCESORIOS,18320.0,2011,0,N,4,7.0
2408,AUTOMOTRIZ,10000.0,2021,0,N,5,7.0
2409,RESTAURANTES,17320.0,2019,0,N,5,8.0
2410,AUTOMOTRIZ,50520.0,2008,0,N,6,7.0
2411,RESTAURANTES,14400.0,2020,0,N,5,5.0
2412,RESTAURANTES,18000.0,2019,0,N,4,6.0
2413,ORGANISMOS,20000.0,2019,0,N,1,8.0
2413,ORGANISMOS,22000.0,2020,0,N,1,8.0
2414,OTROS BIENES Y SERVICIOS,27200.0,2017,0,N,1,10.0
2414,OTROS BIENES Y SERVICIOS,34320.0,2014,0,S,3,10.0
2415,RESTAURANTES,6000.0,2019,0,S,6,8.0
2416,TELECOMUNICACIONES,12000.0,2021,0,N,4,5.0
2417,TELECOMUNICACIONES,26400.0,2019,0,N,4,7.0
2417,TELECOMUNICACIONES,40800.0,2018,0,N,6,7.0
2418,RESTAURANTES,47400.0,2008,0,N,5,7.0
2419,CONSTRUCCIÓN,37608.0,2021,0,N,3,5.0
2420,AUTOMOTRIZ,77200.0,2015,0,N,4,5.0
2421,RESTAURANTES,80000.0,2021,0,N,2,6.0
2422,RECURRENTES,37600.0,2008,0,S,5,7.0
2423,MERCANCÍA GENERAL,92640.0,2008,0,N,5,6.0
2424,RESTAURANTES,47360.0,2020,0,S,2,6.0
2425,RESTAURANTES,8896.0,2021,0,N,5,8.0
2426,ALOJAMIENTO,112560.0,2008,0,N,4,6.0
2427,ARTÍCULOS Y SERVICIOS PERSONALES,80000.0,2021,0,N,2,10.0
2428,SUPERMERCADOS,10000.0,2021,0,S,6,5.0
2429,ORGANISMOS,80000.0,2022,0,S,1,10.0
2430,ALOJAMIENTO,80000.0,2021,0,N,1,5.0
2431,OTROS BIENES Y SERVICIOS,22000.0,2020,0,S,1,10.0
2432,MERCANCÍA GENERAL,33400.0,2014,0,N,3,6.0
2433,MERCANCÍA GENERAL,55760.0,2008,0,N,5,7.0
2434,GASOLINERAS,18000.0,2021,0,S,6,9.0
2435,COMIDA/ABARROTES,8000.0,2012,0,N,4,7.0
2436,RESTAURANTES,23480.0,2021,0,S,4,9.0
2437,SUPERMERCADOS,14000.0,2015,0,N,4,7.0
2438,SUPERMERCADOS,24000.0,2018,0,N,4,9.0
2438,SUPERMERCADOS,26400.0,2019,0,N,1,9.0
2439,RESTAURANTES,60000.0,2021,0,N,1,8.0
2440,ALQUILER DE AUTOS,31200.0,2008,0,N,5,6.0
2441,SUPERMERCADOS,42880.0,2008,0,S,5,10.0
2442,GASOLINERAS,21840.0,2022,0,S,6,7.0
2443,RESTAURANTES,240000.0,2008,0,N,4,12.0
2444,RESTAURANTES,8800.0,2022,0,N,5,6.0
2445,RESTAURANTES,71480.0,2008,0,N,5,6.0
2446,SUPERMERCADOS,21872.0,2022,0,N,6,5.0
2447,RESTAURANTES,50000.0,2014,0,S,2,7.0
2447,RESTAURANTES,55000.0,2019,0,N,3,7.0
2448,SUPERMERCADOS,49632.0,2022,0,N,1,5.0
2449,SUPERMERCADOS,12000.0,2018,0,N,4,9.0
2450,RESTAURANTES,25200.0,2022,0,N,1,7.0
2451,SUPERMERCADOS,40880.0,2021,0,N,3,6.0
2452,SUPERMERCADOS,84920.0,2019,0,S,3,6.0
2453,SUPERMERCADOS,5600.0,2017,0,N,5,8.0
2454,SUPERMERCADOS,70960.0,2008,0,N,5,7.0
2455,SUPERMERCADOS,43280.0,2008,0,S,5,7.0
2456,ARTÍCULOS Y SERVICIOS PERSONALES,68640.0,2019,0,N,2,6.0
2456,ARTÍCULOS Y SERVICIOS PERSONALES,72000.0,2015,0,N,1,6.0
2457,RESTAURANTES,36640.0,2019,0,N,1,6.0
2458,TRANSPORTE,48568.0,2008,0,S,5,6.0
2459,SUPERMERCADOS,83040.0,2011,0,N,5,6.0
2460,AUTOMOTRIZ,30800.0,2010,0,N,5,6.0
2460,AUTOMOTRIZ,45000.0,2011,0,N,5,6.0
2461,AUTOMOTRIZ,55200.0,2008,0,N,5,8.0
2462,SUPERMERCADOS,36000.0,2022,0,N,1,5.0
2463,TRANSPORTE,65496.0,2021,0,N,2,7.0
2464,SUPERMERCADOS,31200.0,2017,0,S,4,9.0
2465,TELECOMUNICACIONES,121600.0,2019,0,N,3,6.0
2466,SERVICIOS FINANCIEROS,114400.0,2011,0,S,3,12.0
2467,MEDICINA,15760.0,2014,0,N,6,7.0
2468,TELECOMUNICACIONES,45616.0,2008,0,S,6,5.0
2469,ARTÍCULOS DE ESPECIALIDAD,152720.0,2008,0,N,5,9.0
2470,RECURRENTES,80000.0,2020,0,N,1,5.0
2471,RESTAURANTES,97800.0,2018,0,N,1,6.0
2472,ENTRETENIMIENTO - DEPORTES,63960.0,2008,0,N,6,6.0
2472,ENTRETENIMIENTO - DEPORTES,83120.0,2008,0,N,6,6.0
2473,SUPERMERCADOS,60000.0,2015,0,N,1,10.0
2473,SUPERMERCADOS,103520.0,2008,0,N,4,10.0
2474,LIBROS-PERIÓDICOS,94360.0,2018,0,N,3,7.0
2474,LIBROS-PERIÓDICOS,188480.0,2008,0,N,4,7.0
2475,RESTAURANTES,7160.0,2018,0,N,6,6.0
2476,RESTAURANTES,26520.0,2008,0,N,6,7.0
2477,SUPERMERCADOS,175200.0,2015,0,N,2,6.0
2478,ARTÍCULOS DE ESPECIALIDAD,148280.0,2008,0,N,5,5.0
2479,PLANTAS,35000.0,2020,0,S,3,8.0
2480,SERVICIOS DE LIMPIEZA,107640.0,2008,0,N,5,9.0
2481,SUPERMERCADOS,7800.0,2015,0,N,6,8.0
2482,RESTAURANTES,4080.0,2022,0,S,6,6.0
2483,REGALOS,12480.0,2016,0,N,4,5.0
2483,REGALOS,78000.0,2008,0,S,4,5.0
2484,TIENDAS/ALMACENES DEPARTAMENTALES,31200.0,2020,0,N,5,8.0
2485,MASCOTAS/ANIMALES DOMÉSTICOS,155960.0,2019,0,N,2,5.0
2486,TELECOMUNICACIONES,6760.0,2021,0,S,6,6.0
2486,TELECOMUNICACIONES,11160.0,2021,0,S,6,6.0
2487,ENTRETENIMIENTO - PARQUES,4400.0,2022,0,N,6,5.0
2488,TRANSPORTE,220800.0,2019,0,N,2,9.0
2489,AUTOMOTRIZ,38584.0,2022,0,N,1,5.0
2490,RESTAURANTES,11240.0,2021,0,N,5,5.0
2491,GASOLINERAS,7280.0,2020,0,N,5,7.0
2492,RESTAURANTES,16344.0,2020,0,N,4,10.0
2492,RESTAURANTES,35120.0,2017,0,N,6,10.0
2493,TRANSPORTE,77216.0,2022,0,N,2,5.0
2494,TELECOMUNICACIONES,80000.0,2021,0,N,2,8.0
2495,RESTAURANTES,5200.0,2019,0,N,6,9.0
2496,RESTAURANTES,6000.0,2014,0,N,6,6.0
2497,TELECOMUNICACIONES,37040.0,2018,0,N,1,6.0
2498,ARTÍCULOS Y SERVICIOS PERSONALES,45680.0,2009,0,N,3,5.0
2499,RESTAURANTES,35080.0,2015,0,S,6,6.0
2499,RESTAURANTES,38584.0,2020,0,S,6,6.0
2500,SUPERMERCADOS,201600.0,2015,0,N,1,9.0
2501,GOBIERNO,104000.0,2019,0,N,2,12.0
2502,REGALOS,54472.0,2018,0,S,6,11.0
2503,LIBROS-PERIÓDICOS,80000.0,2019,0,N,2,6.0
2504,RESTAURANTES,34912.0,2010,0,N,6,7.0
2505,SUPERMERCADOS,104000.0,2019,0,S,2,7.0
2506,TELECOMUNICACIONES,6000.0,2021,0,S,6,6.0
2507,RESTAURANTES,149480.0,2015,0,N,2,5.0
2508,GASOLINERAS,17520.0,2014,0,N,6,10.0
2509,COMIDA/ABARROTES,179200.0,1999,0,N,3,12.0
2510,ENTRETENIMIENTO - PARQUES,94640.0,2009,1,N,3,7.0
2511,SUPERMERCADOS,109200.0,2011,0,N,3,12.0
2512,AEROLÍNEAS,52000.0,2009,1,N,4,9.0
2513,AEROLÍNEAS,240000.0,2019,0,S,4,9.0
2514,COMIDA/ABARROTES,156000.0,2012,0,N,3,12.0
2515,AUTOMOTRIZ,6000.0,2012,0,N,6,7.0
2515,AUTOMOTRIZ,13200.0,2014,0,N,6,7.0
